ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
0,0,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,2.261e+04,6.634e+04,5.663e+06,123.6,8.4534025,1.624e+08,1.624e+07,26.36363636,0.8,94.67,7.405,84.83,217.8,220.2,121.9,1.334e+05,6705,1066,106.9,7.99e+07,1.335e+08,14.07,8.216
1,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,1.845e+04,5.69e+04,4.228e+06,114.6,8.4534025,1.213e+08,1.213e+07,26.36363636,0.8,92.34,7.241,68.31,215.7,196.5,148.5,8.159e+04,4312,999.5,100.6,7.987e+07,1.817e+08,16,12.45
2,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,8604,2.879e+04,2.473e+06,81.87,8.4534025,7.093e+07,7.093e+06,26.36363636,0.8,54.79,2.894,87.5,63.26,119.6,34.06,4.5e+04,2291,1577,158.1,7.288e+07,6.314e+07,5.864,1.875
3,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,1.89e+04,5.789e+04,4.463e+06,115.5,8.4534025,1.28e+08,1.28e+07,26.36363636,0.8,90.76,6.942,78.08,207,205.9,53.17,8.409e+04,4166,960.9,96.16,7.081e+07,5.635e+07,15.35,4.855
4,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,7341,2.487e+04,1.888e+06,76.2,8.4534025,5.415e+07,5.415e+06,26.36363636,0.8,54.86,2.914,28.84,87.59,79.78,52.79,3.06e+04,1523,2708,279.1,1.882e+08,3.746e+08,5.136,3.48
5,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,7162,2.456e+04,1.737e+06,75.73,8.4534025,4.982e+07,4.982e+06,26.36363636,0.8,53.23,2.905,29.2,87.17,80.1,54.78,2.617e+04,1242,2472,255.1,1.61e+08,3.312e+08,5.275,3.691
6,1,685,1612,24,12h01m54.4406s -18d53m11.4666s,1,695,2.401e+04,1.501e+06,74.91,8.4534025,4.306e+07,4.306e+06,26.36363636,0.8,51.74,2.945,28.69,87.15,79.35,57.56,2.339e+04,1123,2177,225.7,1.353e+08,2.951e+08,5.713,4.234
7,2,508,1904,21,12h01m54.1525s -18d53m11.5085s,1,311,328,1.46e+05,14.12,2.843526,4.187e+06,4.187e+05,26.36363636,0.8,24.86,1.228,18.32,37.38,38.72,14.58,4975,394.2,889.1,92.61,2.613e+07,2.975e+07,6.616,2.66
8,1,759,1668,13,12h01m54.3853s -18d53m11.6206s,1,1113,359,3.367e+05,30.73,5.1022654,9.659e+06,9.659e+05,26.36363636,0.8,19.81,1.243,24.06,18.32,29.23,6.824,1.049e+04,872,3599,37,8.901e+07,6.396e+07,1.376,0.3897
9,0,1281,1480,25,12h01m54.5708s -18d53m11.4526s,2,3468,4748,5.883e+06,34.77,3.7053874,1.6e+08,1.6e+07,25,0.8,132,9.154,154.6,125.5,225.7,43.83,1.888e+05,6412,999.8,1,1.421e+08,8.625e+07,28.45,7.361
