ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
63,2,1369,1530,28,12h01m54.5214s -18d53m11.41s,2,746,132,1.42E+05,64.18,10.218978,1.48E+05,1.48E+04,0.9615384615,0.8,10.31,0.4319,11.74,14.93,12.37,6.086,1866,262.8,308.4,48.01,4.88E+06,7.24E+06,10.28,5.234,1.19E+05,12.64
64,2,663,1646,28,12h01m54.407s -18d53m11.41s,1,413,685,1.62E+05,46.88,24.43182,1.60E+05,1.60E+04,0.9090909091,0.8,7.007,0.3023,6.715,14.1,nan,11.48,920.9,203.1,nan,nan,nan,nan,nan,nan,3.48E+05,26.56
65,1,577,1863,42,12h01m54.1929s -18d53m11.214s,1,8387,4.22E+04,6.78E+06,357.6,21.1537,6.71E+06,6.71E+05,0.9090909091,0.8,40.32,1.9,30.21,55.97,64.48,28.98,1.87E+04,934.8,513.8,52.49,2.39E+07,3.24E+07,18.1,8.506,1.37E+07,19.62
66,1,577,1863,42,12h01m54.1929s -18d53m11.214s,1,1.02E+04,4.92E+04,7.94E+06,386.2,21.1537,7.86E+06,7.86E+05,0.9090909091,0.8,40.23,1.88,31.01,77.67,77.8,16.35,2.28E+04,1281,413.2,41.46,1.58E+07,1.02E+07,18.56,4.656,1.50E+07,19.68
67,2,1132,1395,29,12h01m54.6546s -18d53m11.396s,2,43,85,1.28E+05,51.93,16.552805,1.34E+05,1.34E+04,0.9615384615,0.8,8.687,0.3799,14.48,10.55,9.67,9.99,958.8,164.3,457.4,153.6,6.58E+06,2.04E+07,6.291,6.552,1.06E+05,18.73
68,2,1235,1450,29,12h01m54.6003s -18d53m11.396s,2,751,1136,1.38E+05,59.69,12.79191,1.45E+05,1.45E+04,0.9615384615,0.8,7.062,0.3165,27.48,9.215,18.95,6.095,1675,289.7,128.1,14.38,6.21E+05,6.05E+05,7.572,2.64,2.18E+05,16
69,1,1338,1463,30,12h01m54.5875s -18d53m11.382s,2,5043,1.61E+04,1.89E+06,221.2,18.056362,1.98E+06,1.98E+05,0.9615384615,0.8,18.83,0.8058,64.81,40.76,81.67,26.27,1.12E+04,967.6,94.34,9.499,7.54E+05,7.35E+05,16.96,5.896,2.87E+06,15.58
70,1,1338,1463,30,12h01m54.5875s -18d53m11.382s,2,3942,1.25E+04,1.52E+06,194.6,18.056362,1.59E+06,1.59E+05,0.9615384615,0.8,18.8,0.7987,28.67,52.82,60.75,26.13,879,686.9,136.7,13.98,1.47E+06,1.90E+06,15.69,7.055,2.34E+06,15.99
71,2,1185,1497,35,12h01m54.554s -18d53m11.312s,2,1547,3886,4.13E+05,109,11.645316,4.32E+05,4.32E+04,0.9615384615,0.8,19.33,0.9075,39.63,14.04,34.06,24.43,3449,367.3,118.7,14.04,2.40E+06,5.17E+06,34.08,24.89,4.21E+05,14.57
72,2,1177,1506,27,12h01m54.5451s -18d53m11.424s,2,612,1121,1.16E+05,59.31,11.601711,1.21E+05,1.21E+04,0.9615384615,0.8,7.045,0.3139,11.5,10.18,nan,32.77,1365,194.1,nan,nan,nan,nan,nan,nan,1.39E+05,14.29
