ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
135,1,606,1719,44,1,1292,1877,7.425e+05,23.52,3.479,2.036e+07,2.036e+06,26.36,0.8,21.26,0.8594,31.84,76.15,78.08,18.08,3.528e+04,2332,1063,106.7,1.133e+07,8.006e+06,2.007,0.5317
136,1,606,1719,44,1,1282,1865,7.06e+05,23.46,3.479,1.936e+07,1.936e+06,26.36,0.8,21.14,0.8466,31.88,75.71,77.89,22.95,3.302e+04,2210,1016,102.2,1.073e+07,9.586e+06,2.082,0.669
137,2,1510,1683,34,1,0,0,3326,11.15,1.696,9.12e+04,9120,26.36,0.8,nan,nan,11.29,12.58,8.077,3.404,597.6,116.5,445,82.65,nan,nan,nan,nan
138,2,1131,407,38,345,1500,5510,2.844e+05,37.19,8.303,5.023e+06,5.023e+05,16.98,0.8,12.67,0.4211,27.65,14.91,27.91,6.593,3525,364.3,2052,211.8,2.173e+07,1.562e+07,1.032,0.2736
139,2,1443,463,36,345,285,505,4.644e+04,15.48,3.415,8.202e+05,8.202e+04,16.98,0.8,8.496,0.3783,18.07,11.82,15.95,8.699,2466,349.4,1026,147,8.556e+06,1.405e+07,1.626,0.9131
140,2,1002,811,38,345,0,0,3.078e+04,11.15,1.489,5.435e+05,5.435e+04,16.98,0.8,15.57,0.8596,12.26,22.23,20.25,10.45,2910,295.7,421.9,53.1,9.307e+06,1.447e+07,10.46,5.62
141,1,1190,988,63,345,0,0,6.459e+05,11.15,2.182,1.679e+07,1.679e+06,25,0.8,59.4,4.053,25.19,130,91.36,60.49,4.186e+04,2885,640.5,65.55,4.557e+07,9.086e+07,22.23,15.19
142,1,1190,988,63,345,0,0,4.633e+05,11.15,2.182,1.205e+07,1.205e+06,25,0.8,59.44,4.15,25.12,132.8,92.21,100.3,2.891e+04,1819,451,47.84,3.184e+07,1.04e+08,31.32,34.48
143,1,1155,835,52,345,0,0,3.708e+05,11.15,1.885,9.642e+06,9.642e+05,25,0.8,50.26,2.448,26.43,81.55,73.39,14.26,2.491e+04,1502,569.9,57.16,3.614e+07,2.167e+07,22.27,5.33
144,1,1190,988,63,345,0,0,4.859e+05,11.15,2.182,1.263e+07,1.263e+06,25,0.8,59.51,4.138,24.17,130.1,89.45,92.3,3.114e+04,2067,502.6,53.19,3.666e+07,1.137e+08,29.04,30.37
