ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1359,-60.2,5,10.7,32,0,2.1,2.1,510000,280000,140000,290000,2340576,0.07,94,1.5,SA,1
1360,-60.5,2.7,6.3,47,21,3.5,2.7,170000,140000,600000,920000,825241.6667,0.81,146,0.8,SA,0
1361,-61.7,5.8,13.5,106,82,12.2,12.2,550000,1300000,16250000,34870000,2709636.604,6.76,3,0.6,SA,0
1362,-61.2,5.6,13.2,47,50,14.1,11.2,850000,2070000,9810000,20110000,4078370.402,2.66,58,0.4,SA,0
1363,-61.8,4.3,9.3,32,0,9.2,14.9,110000,130000,2770000,9010000,557543.4894,5.64,155,0.2,SA,1
1364,-61.9,3.8,8.9,61,41,6.3,5.1,930000,480000,2530000,4630000,4461723,0.63,106,0.4,SA,0
1365,-64.2,3.8,8.1,62,41,6.1,7,380000,740000,2390000,5560000,1834554.945,1.46,136,0.4,SA,0
1366,-61.9,5.4,12.6,68,25,9.1,4.5,1060000,860000,5870000,6500000,5147782.583,1.27,40,0.3,SA,0
1367,-62.5,5.6,11.6,48,28,1.8,4.8,200000,260000,160000,760000,950309.0526,0.19,48,0.9,SA,0
1368,-63.6,5.8,13.5,62,44,12.5,9.2,1130000,1650000,10120000,19000000,5486432.927,2.05,2,0.5,SA,0
1369,-55.7,7.2,15.9,61,25,8.7,3.2,520000,490000,4820000,4550000,2504879.201,2.14,161,0.8,SA,0
1370,-59.6,6,12.9,42,40,8,6.5,450000,720000,2790000,6720000,2213310.638,1.41,66,0.4,SA,0
1371,-57.8,3.1,6.7,51,23,4.1,2.5,250000,160000,910000,1170000,1199201.096,0.83,26,0.7,IA,0
1372,-60.2,6,13.6,78,72,3.1,5,1160000,3670000,760000,2440000,5801749.2,0.15,56,0.4,SA,0
1373,-55.2,4,8.6,130,32,5.5,1.3,1490000,600000,4130000,2120000,7133800.781,0.64,110,0.8,SA,0
1374,-62.8,5.6,13,123,22,7.6,2.8,2020000,1060000,7460000,5760000,9703883.859,0.85,24,0.8,SA,0
1375,-59.8,4.6,10.8,44,24,9.2,4.4,350000,170000,3870000,4920000,1708992,2.53,171,0.8,SA,0
1376,-56.9,4.2,8.7,31,14,6.2,3.5,300000,190000,1260000,1630000,1441139.625,0.96,172,0.8,SA,0
1377,-58.7,7.5,16.3,111,34,7.2,4.2,1830000,1460000,6070000,7540000,8790358.737,0.76,22,0.3,SA,0
1378,-61.3,6.3,13.3,32,0,11.3,10,820000,1380000,4230000,7480000,3986503.261,1.19,35,0.7,SA,1
1379,-58.9,3.2,6.6,32,0,2.4,2.3,140000,50000,190000,360000,713318.4,0.3,29,0.2,SA,1
